Fecha,Dia_Semana,Festivo,Dia_sin_carro,Hubo_Protesta,Es_COVID,Hay_Evento,Nombre_Evento
01/01/2015,Jueves,SI,NO,NO,NO,SI,Año Nuevo
02/01/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
03/01/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
04/01/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
05/01/2015,Lunes,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
06/01/2015,Martes,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
07/01/2015,Miercoles,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
08/01/2015,Jueves,NO,NO,NO,NO,SI,Fiesta de Reyes - Carnaval de Bogota
09/01/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
10/01/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
11/01/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
12/01/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
13/01/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
14/01/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
15/01/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
16/01/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
17/01/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
18/01/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
19/01/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
20/01/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
21/01/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
22/01/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
23/01/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
24/01/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
25/01/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
26/01/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
27/01/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
28/01/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
29/01/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
30/01/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
31/01/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
01/02/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
02/02/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
03/02/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
04/02/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
